categories,creation_date,description,project
Communications & Information Technology,2017-10-03 20:05,Java implementation of Aadhaar eAuth/eKYC APIs,Aadhaar eAuth/eKYC Sample App (Java)
Apache License V2.0$Android,2021-01-05 18:17,Android source code repository for Aarogya Setu mobile application.,Aarogya Setu Android
Apache License V2.0$OS Independent$Application,2020-11-19 17:07,Backend source code repository for Aarogya Setu mobile application.,Aarogya Setu Backend
Apache License V2.0$OS Independent$Java$Swift$Application,2020-08-09 16:46,Source code repository for Aarogya Setu mobile application developed by the Government of India.,Aarogya Setu iOS
Geographic Information Systems,2019-03-27 16:31,"Aero India is a biennial air show and aviation exhibition held in Bengaluru, India at the Yelahanka Air Force Station. It is organised by the Defence Exhibition Organisation, Ministry of Defence.",Aero India 2019 - MoD
Agriculture & Cooperation,2017-11-24 15:35,Agriculture Portal for State Jharkhand,AgriPortal
Agriculture & Cooperation,2017-11-25 11:50,Data Analysis of the factors that effect Agriculture sector at a broad level.,AgroNation
Geographic Information Systems,2019-06-11 12:28,Tracking the route of Amarnath yatra for providing alerts and notifications as per requirement during the journey of people,Amarnath New
Health & Family welfare,2017-11-25 11:44,"In the Ambulance Service project we provide hospital list, nearest Ambulance using GPS tracker.",Ambulance Services
Health & Family welfare,2017-11-15 12:52,This is a Hospital Management and Administration System which can be implemented in any hospital or clinic.,amzoo Hospital Administration System
"Science, Technology & Research",2020-01-28 18:16,Analytics Demo,Analytics Demo
"Science, Technology & Research",2016-12-24 15:55,"Analyzing  Government Data. 

(As of now have decided to use R as Statistical tool this may change over the period if there is a better alternative than open-source)",Analyzing Data for Indian Governance
Geographic Information Systems,2019-04-03 10:27,Census based mapping with the use of GIS technology,Andaman&Nicobar_Census Based Mapping
,2020-09-03 09:08,android repository,AndroidDigi
,2020-08-20 12:51,"Angika Technologies is a leading pioneer in innovation, technology, service and consulting. We empower clients in India &amp; Aboard to make and execute systems for their digital transformation. Angika Technologies team, expert and experienced professionals who possess assorted knowledge, skills and abilities of software development and digital marketing.",Angika Technology
"Communications & Information Technology$Science, Technology & Research",2020-01-23 11:40,Angular Components,Angular Components
Governance & Administration,2019-08-05 13:08,Annual  and Five Year Plan,Annual and Five Year Plans
Transport & Infrastructure,2017-11-25 10:24,The project deals with the time table of Indian Railways.,Application on Train TimeTable
Geographic Information Systems,2019-04-03 10:39,Census based mapping with the use of GIS technology,Arunachal Pradesh_Census based mapping
,2021-06-18 11:37,All monument locations and boundaries are indicative and for representation purposes only. They cannot be interpreted as legal boundaries or protected areas,ASI
,2021-04-09 11:01,ASI - Indian Heritage,ASI - Indian Heritage
Geographic Information Systems,2019-02-27 15:41,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Araria
Geographic Information Systems,2019-02-27 15:48,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Aurangabad
Geographic Information Systems,2019-02-27 15:53,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Bahraich
Geographic Information Systems,2019-03-14 12:27,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Baksa
Geographic Information Systems,2019-02-27 16:30,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Balangir
Geographic Information Systems,2019-02-27 16:36,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all –""Sabka Saath Sabka Vikas"".",Aspirational Districts_Balrampur
Geographic Information Systems,2019-02-27 16:41,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Banka
Geographic Information Systems,2019-02-27 16:46,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Baramula
Geographic Information Systems,2019-02-27 16:50,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Baran
Geographic Information Systems,2019-02-27 16:54,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Barpeta
Geographic Information Systems,2019-02-27 16:57,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Barwani
Geographic Information Systems,2019-02-27 17:00,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Baster
Geographic Information Systems,2019-02-27 17:04,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Begusarai
Geographic Information Systems,2019-02-27 17:09,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Bijapur
Geographic Information Systems,2019-02-27 17:14,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Birbhum
Geographic Information Systems,2019-02-28 15:32,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Bokaro
Geographic Information Systems,2019-02-28 15:37,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all –Sabka Saath Sabka Vikas.,Aspirational Districts_Chamba
Geographic Information Systems,2019-02-28 15:46,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all –Sabka Saath Sabka Vikas.,Aspirational Districts_Chandauli
Geographic Information Systems,2019-02-28 15:48,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all –Sabka Saath Sabka Vikas.,Aspirational Districts_Chandel
Geographic Information Systems,2019-02-28 15:51,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all –Sabka Saath Sabka Vikas.,Aspirational Districts_Chatra
Geographic Information Systems,2019-02-28 15:55,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all –Sabka Saath Sabka Vikas.,Aspirational Districts_Chhatarpur
,2021-04-08 03:42,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all –&quot;Sabka Saath Sabka Vikas&quot;.,ASPIRATIONAL DISTRICTS_CHHINDWARA
Geographic Information Systems,2019-02-28 15:59,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all –Sabka Saath Sabka Vikas.,Aspirational Districts_Chitrakoot
Geographic Information Systems,2019-02-28 16:03,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all –Sabka Saath Sabka Vikas.,Aspirational Districts_Dahod
